name	dimensions	technique	date	path
Armut after Kollwitz	360 x 510 mm	Ink wash and charcoal on paper	2023	drawings/full/armut_after_kollwitz.jpg
August 7, 20 Minutes	305 x 457 mm	Ink wash on paper	2026	drawings/full/august_7_20_minutes_2026.jpg
Embrace	594 x 420 mm	Ink wash on paper	2023	drawings/full/embrace.jpg
Fire 1	420 x 594 mm	Ink wash on paper	2022	drawings/full/fire1.jpg
Fire 2	420 x 594 mm	Ink wash on paper	2022	drawings/full/fire2.jpg
Fire 3	420 x 594 mm	Ink wash on paper	2022	drawings/full/fire3.jpg
Riders in Motion I	390 x 115 mm	Ink wash drawing	2025	drawings/full/riders_in_motion_1_2025.jpg
Riders in Motion II	390 x 115 mm	Ink wash drawing	2025	drawings/full/riders_in_motion_2_2025.jpg
Riders in Motion III	390 x 115 mm	Ink wash drawing	2025	drawings/full/riders_in_motion_3_2025.jpg
The Drunkard	210 x 297 mm	Ink wash drawing	2025	drawings/full/the_drunkard_2025.jpg
Wellfleet Railroad Pilings	594 x 420 mm	Ink wash on paper	2026	drawings/full/wellfleet_railroad_pilings_2026.jpg
After the Burial	800 x 400 mm	Oil on canvas	2022	paintings/full/after_the_burial.jpg
Der S-Bahn Zug	228 x 305 mm	Oil on canvas panel	2023	paintings/full/der_sbahnzug.jpg
Alarm	102 x 170 mm	Oil on wood panel	2026	paintings/full/alarm_2026.jpg
Apprehension	270 x 545 mm	Oil on wood panel	2026	paintings/full/apprehension_2026.jpg
Cherub	335 x 250 mm	Oil on wood panel	2026	paintings/full/cherub_2026.jpg
At a Loss	245 x 345 mm	Trace monotype on paper	2026	prints/full/at_a_loss_2026.jpg
Paar	245 x 345 mm	Trace monotype on paper	2026	prints/full/paar_2026.jpg
Refusal	20 x 130 mm	Woodcut on Paper	2026	prints/full/refusal_2026.jpg
Striving	245 x 345 mm	Trace monotype on paper	2026	prints/full/striving_2026.jpg
The Conversation	245 x 345 mm	Trace monotype on paper	2026	prints/full/the_conversation_2026.jpg
The Knights	210 x 297 mm	Trace monotype on paper	2026	prints/full/the_knights_2026.jpg
